[MAP]
# path	 width	height	type
maps\section5.png	16	38	indoor
[FOREMAP]
maps\section5Fore.png	16	38
[PLATFORMS]
# x	y	col-number	row-number	name
0	37	2	38	brick
14	27	2	38	brick
2	37	5	4	brick
9	37	5	4	brick
2	5	5	6	brick
9	5	5	6	brick
4	27	2	2	thorny
8	27	2	2	thorny
12	27	2	2	thorny
2	23	2	2	thorny
6	23	2	2	thorny
10	23	2	2	thorny
4	19	2	2	thorny
8	19	2	2	thorny
12	19	2	2	thorny
2	15	2	2	thorny
6	15	2	2	thorny
10	15	2	2	thorny
2	11	10	2	thorny
2	9	6	2	thorny
2	7	4	2	thorny
2	29	1	1	mortar
3	29	1	1	mortar
4	29	1	1	mortar
5	29	1	1	mortar
6	29	1	1	mortar
7	29	1	1	mortar
8	29	1	1	mortar
9	29	1	1	mortar
10	29	1	1	mortar
11	29	1	1	mortar
12	29	1	1	mortar
13	29	1	1	mortar
2	28	1	1	mortar
3	28	1	1	mortar
4	28	1	1	mortar
5	28	1	1	mortar
6	28	1	1	mortar
7	28	1	1	mortar
8	28	1	1	mortar
9	28	1	1	mortar
10	28	1	1	mortar
11	28	1	1	mortar
12	28	1	1	mortar
13	28	1	1	mortar
2	25	1	1	mortar
3	25	1	1	mortar
4	25	1	1	mortar
5	25	1	1	mortar
6	25	1	1	mortar
7	25	1	1	mortar
8	25	1	1	mortar
9	25	1	1	mortar
10	25	1	1	mortar
11	25	1	1	mortar
12	25	1	1	mortar
13	25	1	1	mortar
2	24	1	1	mortar
3	24	1	1	mortar
4	24	1	1	mortar
5	24	1	1	mortar
6	24	1	1	mortar
7	24	1	1	mortar
8	24	1	1	mortar
9	24	1	1	mortar
10	24	1	1	mortar
11	24	1	1	mortar
12	24	1	1	mortar
13	24	1	1	mortar
2	21	1	1	mortar
3	21	1	1	mortar
4	21	1	1	mortar
5	21	1	1	mortar
6	21	1	1	mortar
7	21	1	1	mortar
8	21	1	1	mortar
9	21	1	1	mortar
10	21	1	1	mortar
11	21	1	1	mortar
12	21	1	1	mortar
13	21	1	1	mortar
2	20	1	1	mortar
3	20	1	1	mortar
4	20	1	1	mortar
5	20	1	1	mortar
6	20	1	1	mortar
7	20	1	1	mortar
8	20	1	1	mortar
9	20	1	1	mortar
10	20	1	1	mortar
11	20	1	1	mortar
12	20	1	1	mortar
13	20	1	1	mortar
2	17	1	1	mortar
3	17	1	1	mortar
4	17	1	1	mortar
5	17	1	1	mortar
6	17	1	1	mortar
7	17	1	1	mortar
8	17	1	1	mortar
9	17	1	1	mortar
10	17	1	1	mortar
11	17	1	1	mortar
12	17	1	1	mortar
13	17	1	1	mortar
2	16	1	1	mortar
3	16	1	1	mortar
4	16	1	1	mortar
5	16	1	1	mortar
6	16	1	1	mortar
7	16	1	1	mortar
8	16	1	1	mortar
9	16	1	1	mortar
10	16	1	1	mortar
11	16	1	1	mortar
12	16	1	1	mortar
13	16	1	1	mortar
2	13	1	1	mortar
3	13	1	1	mortar
4	13	1	1	mortar
5	13	1	1	mortar
6	13	1	1	mortar
7	13	1	1	mortar
8	13	1	1	mortar
9	13	1	1	mortar
10	13	1	1	mortar
11	13	1	1	mortar
12	13	1	1	mortar
13	13	1	1	mortar
2	12	1	1	mortar
3	12	1	1	mortar
4	12	1	1	mortar
5	12	1	1	mortar
6	12	1	1	mortar
7	12	1	1	mortar
8	12	1	1	mortar
9	12	1	1	mortar
10	12	1	1	mortar
11	12	1	1	mortar
12	12	1	1	mortar
13	12	1	1	mortar
[OBJECTS]
#name	nx	x	y	width	height
# - Enemy -
[GATES]
#way	x	y	col	row	next
in	7	37	2	4	4
out	7	4	2	5	6
